Nr,sy,sm,monthWritten,sd,em,ed,date,date,ID,folio,Datierung ,,Empfaenger,Absender,type,theme,Quelle,,Antwort,Kommentar,Bürgermeisterfrage,,,,,,,,,,,,,,,,
1,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER1,1,,,Nürnberg,,,,[nicht lesbar] [Datierung der Bürgermeisterfrage verloren; wohl 1449 April 16].,,,,,,,,,,,,,,,,,,,,1
2,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,[fol. 1v],[fol. 1v],,,Nürnberg,,,,,,,,,,,,,,,,,,,,,,,,2
3,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER2,[fol. 1v],,,Nürnberg,"rat zur Freyenstadt, Contzen Smydels",Bittbrief,,"Item ein betbrief vom rat zur Freyenstadt, Contzen Smydels seligen witben anrurend.",,,,,,,,,,,,,,,,,,,,3
4,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER3,[fol. 1v],1449 März 28,,Nürnberg,Friedrich von Lewenstein,Brief,,"[Item] ein brief von Fridrich von Lewenstein und Hannsen von Wachenheim, amptluten zu Kruczenach, Abraham Sprintzen, Menchin Sprintzen, sein bruder, anrurend.",,1449 April 26 ,,,,,,,,,,,,,,,,,,4
5,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER4,[fol. 1v],,,Nürnberg,hern Johann hern zu Swartzenberg,Brief,,"Item ein brief von hern Johann, hern zu Swartzenberg, von Hannsen Pfisters wegen, Petern Gerlin, unsern burger, anrurend.",,,,,,,,,,,,,,,,,,,,5
6,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER5,[fol. 1v],,,Nürnberg,Jorgen Dietzinger,Bittbrief,,"Item ein betbrief von Jorgen Dietzinger, unsern burger den Dietzen, sein sweher, anrurend.",,,,,,,,,,,,,,,,,,,,6
7,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER6,[fol. 1v],,,Nürnberg,Eger,Brief,,"Item ein brief von Eger, von Hansen Adelfrids, irs burgers, wegen.",,,,,,,,,,,,,,,,,,,,7
8,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER7,[fol. 1v],,,Nürnberg,unserm hern von Wirtzburg,Brief,,"Item ein brief von unserm hern von Wirtzpurg mit einer eingeslossen abschrift, als marggraf Albrecht den tag zu Bamberg abschreibt.",,1449 April ,,,,,,,,,,,,,,,,,,8
9,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER8,[fol. 1v],,,Nürnberg,unserm hern von Bamberg,Brief,,[Item] ein brief von unserm hern von [Bam]berg ad idem.,,1449 April,,,,,,,,,,,,,,,,,,9
10,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER9,[fol. 1v],1449 April / 16/ 17,,Nürnberg,marggraf Albrecht,Brief,,[Item] ein brief von marggraf Albrecht [...] ad idem.,,,,,,,,,,,,,,,,,,,,10
11,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER10,[fol. 1v],,,Nürnberg,hern von :Ba: Wirtzburg,Brief,,"[Item ein] brief von unserm hern von :Ba: Wirtzpurg, antreffend den Birkheimer und ein von Grunbach, von einer [p]frunde wegen zu Hawg, darinn [der] apt zu sant Egidien richter [sein] sol.",,,,,,,,,,,,,,,,,,,,11
12,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER11,[fol. 1v],,,Nürnberg,"Hertzogenawrach, von Heintzen Schilhers",Brief,,"[Item ein] brief von Hertzogenawrach, von Heintzen Schilhers wegen.",,1449 April 29,,,,,,,,,,,,,,,,,,12
13,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER12,[fol. 1v],,,Nürnberg,hern von Wirtzpurg,Bittbrief,,"[Item] i betbrief von unserm hern von W[irtzpurg], im zwen unser ratsfrund [zu de]m tage gen Bamberg [...] sein gnad(en) dem von G[leichen?] und hern Apeln Vitztum [auf] suntag Exaudi [1449 Mai 25] etc. z[u leihen?].",,,,,,,,,,,,,,,,,,,,13
14,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER13,[fol. 1v],,,Nürnberg,hertzog Friedrich,Klagbrief,,"[Item] ein clag brief von [...] hertzog Fridrich v[on...] eingeslossen abs[chrift...], Gich anrurend.",,,,,,,,,,,,,,,,,,,,14
15,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,[fol. 2r],[fol. 2r],,,,,,,,,,,,,,,,,,,,,,,,,,,15
16,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER14,[fol. 2r],,,Nürnberg,,Antwort,,"Item ein antwurt von unserm hern von [...], von aufhaltung wegen unser kaufl(eut) hab und gut jenseit waldes, wie das hertzog Wilhelm vor im habe.",,,,,,,,,,,,,,,,,,,,16
17,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER15,[fol. 2r],,,Nürnberg,,Bittbrief,,"Item i betbrief von herczog Albrecht von B(ayern), von Wernher Marschalks wegen.",,,,,,,,,,,,,,,,,,,,17
18,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER16,[fol. 2r],,,Nürnberg,,Brieflein,,"Item ein brieflin von Veyten von Schawnberg, darinn er die vehde gen uns abtut.",,,,,,,,,,,,,,,,,,,,18
19,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER17,[fol. 2r],,,Nürnberg,,Antwort,,Item ein antwurt von hern Hannsen von Schawnberg in eadem causa.,,,,,,,,,,,,,,,,,,,,19
20,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER18,[fol. 2r],,,Nürnberg,,Antwort,,Item ein antwurt von hertzog Wilhelmen von Sachsen in derselben sache.,,,,,,,,,,,,,,,,,,,,20
21,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER19,[fol. 2r],,,Nürnberg,,Antwort,,Item ein antwurt von graf Sigmunden von Gleichen auch in derselben sache.,,,,,,,,,,,,,,,,,,,,21
22,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER20,[fol. 2r],,,Nürnberg,,Antwort,,"Item ein antwurt von Erharten von Melbingen, ritter, Apeln von Stotternheim und andern des von Gleichen helffern.",,,,,,Burgermeister her B[ertold] Tucher und her Andres Stromer feria iiiia post Egidii anno etc. xlixo.,,,,,,,,,,,,,,22
23,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER21,[fol. 2r],,,Nürnberg,,Bittbrief,,"Item i betbrief von graf Ulrichen von Wirtemberg, sein buchsenmeister zu vergunnen, etlichen zeuge bey uns zu bestellen.",,,,,,,,,,,,,,,,,,,,23
24,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER22,[fol. 2r],,,Nürnberg,,Brief,,"Item ein brief von Schennk Conrat von Limpurg, das er zu dem tage zu Grevenreinfelt nicht komen mug.",,,,,,,,,,,,,,,,,,,,24
25,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER23,[fol. 2r],,,Nürnberg,,Brief,,"Item ein brief von Sigmund Es[chen]felder, von etlicher gewerbe [wegen].",,,,,,,,,,,,,,,,,,,,25
26,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER24,[fol. 2r],,,Nürnberg,,Brief,,"Item ein brief von bruder Hanns [von] Braunbach, den Mußeberlin [antreffend].",,,,,,,,,,,,,,,,,,,,26
27,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER25,[fol. 2r],,,Nürnberg,,Förderbrief,,"Item ein furderbrief von Hannsen von Seckendorf, Hannsen Plumer an[treffend].",,1449 Mai 2 ,,,,,,,,,,,,,,,,,,27
28,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER26,[fol. 2r],1449 April 15,,Nürnberg,,Brief,,"Item ein brief von Wilhelm von Plankenberg und auch einer von Heintz von Possek, darinne sie unser veynde werden.",,1449 Mai 1,,,,,,,,,,,,,,,,,,28
29,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER27,[fol. 2r],,,Nürnberg,,Brief,,"Item i brief von Hannsen von Seckend(orf) Nolt, von etlicher wort wegen, zu Lanngenfelt und Uffenh(eim) ergangen.",,1449 Mai 6,,,,,,,,,,,,,,,,,,29
30,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,[fol. 2v],[fol. 2v],,,,,,,,,,,,,,,,,,,,,,,,,,,30
31,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER28,[fol. 2v],,,Nürnberg,,Bittbrief,,"[Item] i betbrief von Augspurg, iren buchsenmeister unsern zeug lassen sehen.",,,,,,,,,,,,,,,,,,,,31
32,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER29,[fol. 2v],,,Nürnberg,,Bittbrief,,"Item i betbrief von hern Ulrichen von Rosemberg in Behm, dem cardinal ein seiner brief gen Coblentz zu schiken.",,1449 Mai 18,Vgl. das Schreiben an den Kardinal Nikolaus von Kues 1449 Mai 5 BB 20/13v.,,,,,,,,,,,,,,,,,32
33,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER30,[fol. 2v],1449 März 29 ,,Nürnberg,,Antwort,,"Item ein antwurt von hertzog Wlocken von Teschin, herren zu Grossen Gloga, von unser kauflut nome wegen.",,1449 Mai 8,,,,,,,,,,,,,,,,,,33
34,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER31,[fol. 2v],,,Nürnberg,,Bittbrief,,"Item ein betbrief von Weissemburg, von Leben, irs juden, wegen, Lienharten Rumel anrurend.",,,,,,,,,,,,,,,,,,,,34
35,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER32,[fol. 2v],,,Nürnberg,,Förderbrief,,"Item ein furderbrief von graf Ludwig von Wirtemberg, von Thoman Ochsenbrunners, des buchsenmeisters, wegen.",,,,,,,,,,,,,,,,,,,,35
36,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER33,[fol. 2v],,,Nürnberg,,Bittbrief,,"Item ein :betbrief: antwurt von Hannsen Truchs(eß) zu Weyer, Petern Rieter anrurend.",,,,,,,,,,,,,,,,,,,,36
37,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER34,[fol. 2v],,,Nürnberg,,Antwort,,"Item ein antwurt von hern Mertin vom Wildenstein, von Jorgen Gewders armmanns wegen.",,,Vgl. 1449 Mai 7 BB 20/15r-v.,,,,,,,,,,,,,,,,,37
38,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER35,[fol. 2v],,,Nürnberg,,Brief,,"Item ein brief von hern Johann, bischoff zu Eystet, Lyfin Gotzman anrurend.",,,,,,,,,,,,,,,,,,,,38
39,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER36,[fol. 2v],,,Nürnberg,,Brief,,"Item ein brief von unserm hern von Wirtzpurg mit einer eingeslossen zettel, verruckung des tags zu Bamberg anrurend.",,1449 Mai 9,,,,,,,,,,,,,,,,,,39
40,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER37,[fol. 2v],,,Nürnberg,,Bittbrief,,"Item ein betbrief von Heinrich Trautenberger, im Matheisen von Mengersrewt und Nickeln Grieß zu leihen.",,,,,,,,,,,,,,,,,,,,40
41,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER38,[fol. 2v],,,Nürnberg,,Brief,,"Item ein brief vom rat zu Sultzpach, von Jorgen Sawrtzapffen und Hannsen Trachts wegen.",,1449 Mai 7,,,,,,,,,,,,,,,,,,41
42,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER39,[fol. 2v],1448 Nov. 14,vgl. auch 1448 Dez. 19? BB 19/250v-251r. ,Nürnberg,,Antwort,,"Item aber ein antwurt von Jan Swesterzun, von Contzen Kolben wegen.",,1449 Mai 3 ,,,,,,,,,,,,,,,,,,42
43,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER40,[fol. 2v],,,Nürnberg,,Antwort,,"Item ein antwurt von hern Mertin vom Wildenstein, sein und Jorgen Gewder armman gen einander anrurend.",,1449 Mai 7,,,,,,,,,,,,,,,,,,43
44,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER41,[fol. 2v], 1449 April 21,"Anschreiben: 1449 April 21 BB 20/1v-2 an Hz. Friedrich, darunter similiter an Wilhelm.",Nürnberg,,Antwort,,"Item ein antwurt von hertzog Wilhelm von Sachßen, von hern Apln Vitztums zu Tannrod vehde wegen.",,,,,,,,,,,,,,,,,,,,44
45,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,[fol. 3r],[fol. 3r],,,,,,,,,,,,,,,,,,,,,,,,,,,45
