ID,name,name2,typ,role,role2,Verwandtschaft,place,state,polit,beruf,spezifik,sex,institution,institution2,family,,,,,,,,,
A1,Gregor Heimburg,,Person,Diplomat, in Nürnberger Diensten,,Nürnberg,,,,,male,Nürnberger Rat,,,,,,,,,,,
A10,Hans Ebner,,Person,,Büchsenmeister,,,,,Handwerker,,male,,,,,,,,,,,,
A100,Martin Geuder,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1457,,,,,,,,
A1000,Lienhard Goldner,,Person,Pfarrer zu Freystadt,,,Freystadt,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1001,Lorenz Fugel,,Person,Pfarrer zu Weißenbrunn,,,Weißenbrunn,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1002,Mangries, ,Person,,,Bruder,,Kleriker,,,,male,,,,,,,,,,,,
A1003,Margarethe Schenkin,,Person,Klosterfrau zu St. Katharina,,,,Kleriker,,,,female,Kloster St. Katharina in Nürnberg,,,,,,,,,,,
A1004,Michel Wilde,,Person,Pfarrer zu Berngau,,Kaplan Pfgf. Ottos,Berngau,Kleriker,fremder Hof,,Pfarrer ,male,,,,,,,,,,,,
A1005,Mönch des Klosters Wülzburg ,,Person,Mönch des Klosters Wülzburg ,,,Wülzburg,Kleriker,,,,male,Kloster Wülzburg,,,,,,,,,,,
A1006,Mönch N.N.,,Person,,,,,Kleriker,,,,male,,,,,,,,,,,,
A1007,Mormensis,,Person,Kardinal,,,,Kleriker,,,Kardinal,male,Kurie,,,,,,,,,,,
A1008,Niclas Barius,,Person,Propst zu Agram,,,,Kleriker,,,Propst,male,,,,,,,,,,,,
A1009,Nürnberger Pfarrer,,Person,,,,Nürnberg ,Kleriker,,,,male,Kirche St. Sebald in Nürnberg,Kirche St. Lorenz in Nürnberg,,,,,,,,,,
A101,Niclas Goldschlager,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1456-1460,,,,,,,,
A1010,Oswald Gf. von Ortenburg ,,Person,Dekan zu Salzburg,,,Salzburg,Kleriker,,,,male,Domkapitel Salzburg,,,,,,,,,,,
A1011,Patriarch von Aquileia ,,Person,Patriarch von Aquileia ,,,Aquileia,Kleriker,,,Patriarch,male,Patriarch von Aquileia ,,,,,,,,,,,
A1012,Paul Osterstickel,,Person,Pfarrer zu Weißenbrunn,,,Weißenbrunn,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1013,Peter Rohr ,,Person,Propst des Stifts,,,sö. Kelheim,Kleriker,,,Propst,male,,,,,,,,,,,,
A1014,Peter von Augsburg,,Person,Bischof von Augsburg,,,Augsburg,geistlicher Fürst,,,,male,Bischof von Augsburg,,,,,,,,,,,
A1015,Pfarrer von Altdorf,,Person,Pfarrer von Altdorf,,,Altdorf,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1016,Pfarrer von Betzenstein,,Person,,,,,Kleriker,,,,male,,,,,,,,,,,,
A1017,Pfarrer von Fürnried,,Person,Pfarrer von Fürnried,,,Fürnried,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1018,Pfarrer von Herzogenaurach,,Person,,,,Herzogenaurach ,Kleriker,,,,male,,,,,,,,,,,,
A1019,Pfarrer von Simmelsdorf,,Person,,,,Simmelsdorf ,Kleriker,,,,male,,,,,,,,,,,,
A102,Niclas Groß,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1456-1460,,,,,,,,
A1020,Pfarrer von Vach,,Person,Pfarrer von Vach,,,Vach,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1021,Pfarrer von Wendelstein,,Person,,,,,Kleriker,,,,male,,,,,,,,,,,,
A1022,Pfarrer zu Petersaurach ,,Person,,,,ö. Ansbach,Kleriker,,,,male,,,,,,,,,,,,
A1023,Prediger von Bamberg,,Person,,,,Bamberg,Kleriker,,,,male,,,,,,,,,,,,
A1024,Priester Irher,,Person,,,,,Kleriker,,,,male,,,,,,,,,,,,
A1025,Prior von Ravensburg ,,Person,,,,Ravensburg ,Kleriker,,,,male,,,,,,,,,,,,
A1026,Prioren und Gardian der Klöster von Bamberg,,Institution,,,,Bamberg,Kleriker,geistliche Institution,,,,,,,,,,,,,,,
A1027,Propst des Neustifts in Wiener Neustadt ,,Person,Propst des Neustifts in Wiener Neustadt ,,,,Kleriker,,,Propst,male,Domkapitel Wiener Neustadt,,,,,,,,,,,
A1028,Reichart von Maßbach ,,Person,Domdekan zu Würzburg,,,Würzburg,Kleriker,,,,male,Domkapitel Würzburg,,,,,,,,,,,
A1029,Ror ,,Person,Pfarrer,,,Rohr bei Roth?,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A103,Ortolf II. Stromer,Ortolf Stromer,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1450-1454,,,,,,,,
A1030,S., = Leubing?,Person,Pfarrer ,,,,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1031,Schwester Elisabeth,,Person,,,,Kloster Gnadenberg ,Kleriker,,,,female,,,,,,,,,,,,
A1032,Sigmund von Eyb ,,Person,Domherr zu Eichstädt,,,,Kleriker,,,,male,Domkapitel Eichstätt,,,,,,,,,,,
A1033,Thomas Grünast,,Person,Pfarrer zu Regensberg,,,Regensberg,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1034,Ulrich Lenzendorfer,,Person,Pfarrer zu Altdorf,,,Altdorf,Kleriker,,,Pfarrer ,male,,,,,,,,,,,,
A1035,"Utz, Heinrich",,Person,Kaplan zu Goslar,,,Goslar,Kleriker,,,Kaplan,male,,,,,,,,,,,,
A1036,Vater Vinzenz,,Person,,,,Kloster Gnadenberg ,Kleriker,,,,male,,,,,,,,,,,,
A1037,Wilhelm Gerst,,Person,Priester,,,,Kleriker,,,Priester,male,,,,,,,,,,,,
A1038,Wilhelm Smoll,,Person,Propst zu Berching,,,Berching,Kleriker,,,Propst,male,,,,,,,,,,,,
A1039,Kloster Waldsassen ,Abt Johann,Institution,,,,ö. Marktredwitz,Kleriker,geistliche Institution,,,,Kloster Waldsassen ,,,,,,,,,,,
A104,Peter Harsdorfer,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,,,,,,,,,
A1040,Böhmen,,Region,Königeich,,,Böhmen,Land,,,,male,König von Böhmen,,,,,,,,,,,
A1041,Albrecht von Wirsberg,,Person,Ritter,,,,Niederadel,Ritter,,,male,,,,,,,,,,,,
A1042,Albrecht von Wolfsstein zu Hauseck,,Person,,,,,Niederadel,,,,male,,,,,,,,,,,,
A1043,Barbara Marschall von Pappenheim,,Person,,,,,Niederadel,,,,female,,,,,,,,,,,,
A1044,Bohuslaw von Schwamberg zu Königswart,,Person,,,,,Niederadel,,,,male,,,,,,,,,,,,
A1045,Clas Katzenstein von Windsheim,,Person,,,,Windsheim,Niederadel,,,,male,,,,,,,,,,,,
A1046,Clas Meyer von Heidingsfeld,,Person,,,,,Niederadel,,,,male,,,,,,,,,,,,
A1047,Clas Müllner von Forchheim,,Person,,,,,Niederadel,,,,male,,,,,,,,,,,,
A1048,Familie Marschall von Pappenheim,,Person,,,,,Niederadel,,,,male,,,,,,,,,,,,
A1049,Ulrich Goldast,,Person,Ritter,,,,Niederadel,Ritter,,,male,,,,,,,,,,,,
A105,Peter Mendel,,Person,Bürger zu N.,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1448-1460,,,,,,,,
A1050,Wilhelm Unkebyna von Stockpley,,Person,Ritter,,,,Niederadel,Ritter,,,male,,,,,,,,,,,,
A1051,Stadtschreiber von Nördlingen,,Person,Stadtschreiber von Nördlingen,,,Nördlingen,,fremder Rat,,Schreiber,male,,,,,,,,,,,,
A1052,Adam Braunwart,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1053,Adam Praunwart,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1054,Agnes Gosweinin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1055,Agnes Hallerin,,Person,Bürger zu N. ,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1056,Agnes Herzogin,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A1057,Albrecht Pulman,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1058,Albrecht Ramung,,Person,Bürger zu N.,,,Nürnberg ,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1059,Alhart Helm ,,Person,Bürger zu Nürnberg,,,Nürnberg,Nürnberger Bürger,,,,female,,,,,,,,,,,,
A106,Peter Rieter,,Person,,Nürnberger Ratsmitglied,,Nürnberg,Nürnberger Bürger,,,,male,Nürnberger Rat,,,1448-1450,,,,,,,,
A1060,Ältere Herren von Nürnberg,,Person,,,,Nürnberg ,Nürnberger Bürger,,,,male,Nürnberger Rat,,,,,,,,,,,
A1061,Andre Doner,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
A1062,Andres Zeringer,,Person,Bürger zu N.,,,Nürnberg,Nürnberger Bürger,,,,male,,,,,,,,,,,,
