IdPerson,Name,Rolle,IdBER
A723, N. N. ,MENTIONED_IN,BER1693
A1748, Tag zu Wemding ,MENTIONED_IN,BER6468
A1749, von Argun von Augsburg,MENTIONED_IN,BER5891
A1750, Wildenau Wildeisner,MENTIONED_IN,BER8229
A1751,Aachen ,SENDER_IN,BER6396
A1751,Aalen ,MENTIONED_IN,BER500
A1524,Aalen ,MENTIONED_IN,BER3457
A1524,Aalen ,MENTIONED_IN,BER3440
A1525,Abenberg ,SENDER_IN,BER8185
A1525,Abenberg ,SENDER_IN,BER1870
A1525,Abenberg ,MENTIONED_IN,BER2262
A1752,Ablaß des Bistums Augsburg,MENTIONED_IN,BER2231
A1753,Ablaß Zypern,MENTIONED_IN,BER6176
A1754,Abraham Sprintzen,MENTIONED_IN,BER3
A943,Abt der Schotten in Würzburg,MENTIONED_IN,BER2850
A627,Abt des Klosters Ensdorf,SENDER_IN,BER7108
A944,Abt von St. Burkhard Würzburg,MENTIONED_IN,BER4691
A1755,Adam auf der ,MENTIONED_IN,BER3430
A1052,Adam Braunwart,MENTIONED_IN,BER7848
A1052,Adam Braunwart,MENTIONED_IN,BER5882
A1052,Adam Braunwart,MENTIONED_IN,BER5939
A1052,Adam Braunwart,MENTIONED_IN,BER6006
A1052,Adam Braunwart,MENTIONED_IN,BER6246
A1052,Adam Braunwart,MENTIONED_IN,BER6850
A1052,Adam Braunwart,MENTIONED_IN,BER6947
A1756,Adam Ermreicher,SENDER_IN,BER3545
A1756,Adam Ermreicher,SENDER_IN,BER2482
A174,Adam Müllner,MENTIONED_IN,BER8221
A1053,Adam Praunwart,MENTIONED_IN,BER6348
A175,Adam Schuster,MENTIONED_IN,BER4832
A1757,Adam von Giech,SENDER_IN,BER6061
A1757,Adam von Giech,SENDER_IN,BER1057
A1757,Adam von Giech,SENDER_IN,BER1963
A1757,Adam von Giech,SENDER_IN,BER2033
A1758,Adam von Gumper,SENDER_IN,BER7513
A1759,Adam Weidner,SENDER_IN,BER8234
A1759,Adam Weidner,SENDER_IN,BER8211
A1760,Adelheid Puttnerin,SENDER_IN,BER7081
A1761,Adelheid Virnkornin,MENTIONED_IN,BER972
A1762,Adelhenne von Laiderbach ,MENTIONED_IN,BER7328
A1763,"Adelmann, F., zu Lindelbach",MENTIONED_IN,BER4960
A1764,Agnes Freißlebin,MENTIONED_IN,BER6137
A1054,Agnes Gosweinin,MENTIONED_IN,BER4050
A1054,Agnes Gosweinin,MENTIONED_IN,BER1914
A1054,Agnes Gosweinin,MENTIONED_IN,BER2989
A1054,Agnes Gosweinin,MENTIONED_IN,BER4034
A1055,Agnes Hallerin,MENTIONED_IN,BER132
A1055,Agnes Hallerin,MENTIONED_IN,BER48
A1056,Agnes Herzogin,MENTIONED_IN,BER5738
A1765,Agnes Hirtin,MENTIONED_IN,BER7133
A1766,Agnes Hoferin,MENTIONED_IN,BER3412
A1767,Agnes Sneydorn,MENTIONED_IN,BER7619
A27,Agnes Zaumstrickerin,MENTIONED_IN,BER2410
A921,Alban Klosner von Gern ,SENDER_IN,BER6808
A921,Alban Klosner von Gern ,SENDER_IN,BER3985
A1768,Albert Perl,MENTIONED_IN,BER5675
A945,Albrecht,MENTIONED_IN,BER7744
A176,Albrecht Bürger,MENTIONED_IN,BER1863
A177,Albrecht Finck,MENTIONED_IN,BER3459
A177,Albrecht Finck,MENTIONED_IN,BER3080
A1769,Albrecht Fleischmann,MENTIONED_IN,BER7446
A1769,Albrecht Fleischmann,MENTIONED_IN,BER2083
A1770,Albrecht Gotzmann von Büg,SENDER_IN,BER2344
A1770,Albrecht Gotzmann von Büg,SENDER_IN,BER324
A1770,Albrecht Gotzmann von Büg,SENDER_IN,BER350
A1771,Albrecht Hafner,MENTIONED_IN,BER6391
A1771,Albrecht Hafner,MENTIONED_IN,BER6141
A66,Albrecht Hauer,SENDER_IN,BER7299
A1772,Albrecht Hofler von Eggolsheim,MENTIONED_IN,BER6229
A482,Albrecht Klack,SENDER_IN,BER8260
A482,Albrecht Klack,SENDER_IN,BER2704
A482,Albrecht Klack,SENDER_IN,BER2739
